#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
2.52E-05,11.200
2.52E-05,11.400
2.52E-05,11.400
2.53E-05,11.400
2.53E-05,11.400
2.53E-05,11.400
2.53E-05,11.200
2.53E-05,11.200
2.54E-05,11.400
2.54E-05,11.400
2.54E-05,11.400
2.54E-05,11.400
2.54E-05,11.400
2.55E-05,11.400
2.55E-05,11.400
2.55E-05,11.400
2.55E-05,11.400
2.55E-05,11.400
2.56E-05,11.400
2.56E-05,11.200
2.56E-05,11.200
2.56E-05,11.200
2.56E-05,11.400
2.57E-05,11.400
2.57E-05,11.600
2.57E-05,11.400
2.57E-05,11.400
2.57E-05,11.400
2.58E-05,11.400
2.58E-05,11.400
2.58E-05,11.600
2.58E-05,11.600
2.58E-05,11.600
2.59E-05,11.600
2.59E-05,11.600
2.59E-05,11.400
2.59E-05,11.400
2.59E-05,11.400
2.60E-05,11.400
2.60E-05,11.400
2.60E-05,11.400
2.60E-05,11.400
2.60E-05,11.400
2.61E-05,11.400
2.61E-05,11.400
2.61E-05,11.400
2.61E-05,11.400
2.61E-05,11.400
2.62E-05,11.600
2.62E-05,11.600
2.62E-05,11.600
2.62E-05,11.000
2.62E-05,11.400
2.63E-05,11.400
2.63E-05,11.400
2.63E-05,11.400
2.63E-05,11.400
2.63E-05,11.400
2.64E-05,11.400
2.64E-05,11.400
2.64E-05,11.600
2.64E-05,11.600
2.64E-05,11.600
2.65E-05,11.400
2.65E-05,11.400
2.65E-05,11.400
2.65E-05,11.400
2.65E-05,11.400
2.66E-05,11.400
2.66E-05,11.400
2.66E-05,11.400
2.66E-05,11.600
2.66E-05,11.000
2.67E-05,11.600
2.67E-05,11.000
2.67E-05,11.000
2.67E-05,11.400
2.67E-05,11.200
2.68E-05,11.400
2.68E-05,11.400
2.68E-05,11.400
2.68E-05,11.400
2.68E-05,11.400
2.69E-05,11.200
2.69E-05,11.400
2.69E-05,11.400
2.69E-05,11.400
2.69E-05,11.400
2.70E-05,11.400
2.70E-05,11.400
2.70E-05,11.400
2.70E-05,11.400
2.70E-05,11.400
2.71E-05,11.400
2.71E-05,11.400
2.71E-05,11.200
2.71E-05,11.400
2.71E-05,11.400
2.72E-05,11.400
2.72E-05,11.400
2.72E-05,11.400
2.72E-05,11.400
2.72E-05,11.400
2.73E-05,11.400
2.73E-05,11.400
2.73E-05,11.400
2.73E-05,11.400
2.73E-05,11.400
2.74E-05,11.200
2.74E-05,11.400
2.74E-05,11.400
2.74E-05,11.400
2.74E-05,11.200
2.75E-05,11.400
2.75E-05,11.400
2.75E-05,11.400
2.75E-05,11.200
2.75E-05,11.400
2.76E-05,11.400
2.76E-05,11.400
2.76E-05,11.400
2.76E-05,11.400
2.76E-05,11.600
2.77E-05,11.600
2.77E-05,11.600
2.77E-05,11.600
2.77E-05,11.600
2.77E-05,11.600
2.78E-05,11.800
2.78E-05,11.600
2.78E-05,11.600
2.78E-05,11.600
2.78E-05,11.400
2.79E-05,11.400
2.79E-05,11.600
2.79E-05,11.600
2.79E-05,11.400
2.79E-05,11.400
2.80E-05,11.200
2.80E-05,11.200
2.80E-05,11.400
2.80E-05,11.200
2.80E-05,11.400
2.81E-05,11.600
2.81E-05,11.400
2.81E-05,11.400
2.81E-05,10.400
2.81E-05,9.600
2.82E-05,8.800
2.82E-05,7.600
2.82E-05,6.400
2.82E-05,5.600
2.82E-05,4.400
2.83E-05,3.800
2.83E-05,3.400
2.83E-05,2.600
2.83E-05,2.000
2.83E-05,1.800
2.84E-05,1.800
2.84E-05,1.000
2.84E-05,1.200
2.84E-05,1.200
2.84E-05,0.800
2.85E-05,1.000
2.85E-05,1.200
2.85E-05,1.200
2.85E-05,1.200
2.85E-05,1.000
2.86E-05,1.000
2.86E-05,1.200
2.86E-05,0.600
2.86E-05,0.800
2.86E-05,0.800
2.87E-05,0.800
2.87E-05,0.800
2.87E-05,1.200
2.87E-05,0.800
2.87E-05,0.600
2.88E-05,0.600
2.88E-05,0.800
2.88E-05,0.600
2.88E-05,0.600
2.88E-05,0.800
2.89E-05,0.600
2.89E-05,0.800
2.89E-05,1.000
2.89E-05,0.600
2.89E-05,0.800
2.90E-05,1.000
2.90E-05,0.800
2.90E-05,0.600
2.90E-05,0.800
2.90E-05,0.800
2.91E-05,1.000
2.91E-05,0.800
2.91E-05,1.000
2.91E-05,0.600
2.91E-05,0.600
2.92E-05,0.800
2.92E-05,0.600
2.92E-05,0.800
2.92E-05,0.800
2.92E-05,0.800
2.93E-05,1.000
2.93E-05,0.800
2.93E-05,0.800
2.93E-05,0.800
2.93E-05,0.800
2.94E-05,1.000
2.94E-05,0.800
2.94E-05,0.600
2.94E-05,0.800
2.94E-05,0.600
2.95E-05,0.800
2.95E-05,0.600
2.95E-05,0.800
2.95E-05,1.000
2.95E-05,1.000
2.96E-05,0.600
2.96E-05,0.800
2.96E-05,0.800
2.96E-05,0.800
2.96E-05,1.000
2.97E-05,0.800
2.97E-05,0.800
2.97E-05,0.800
2.97E-05,1.000
2.97E-05,0.800
2.98E-05,0.800
2.98E-05,0.800
2.98E-05,1.000
2.98E-05,0.800
2.98E-05,0.600
2.99E-05,0.800
2.99E-05,0.800
2.99E-05,1.000
2.99E-05,0.800
2.99E-05,1.000
3.00E-05,1.000
3.00E-05,1.000
3.00E-05,1.000
3.00E-05,1.000
3.00E-05,1.000
3.01E-05,0.600
3.01E-05,0.600
3.01E-05,0.800
3.01E-05,1.000
3.01E-05,1.000
3.02E-05,1.000
3.02E-05,1.000
3.02E-05,1.000
3.02E-05,0.600
3.02E-05,0.800
3.03E-05,0.800
3.03E-05,1.000
3.03E-05,0.800
3.03E-05,0.600
3.03E-05,0.800
3.04E-05,0.600
3.04E-05,0.600
3.04E-05,0.800
3.04E-05,0.800
3.04E-05,1.000
3.05E-05,0.800
3.05E-05,0.600
3.05E-05,0.800
3.05E-05,1.000
3.05E-05,0.800
3.06E-05,0.800
3.06E-05,1.000
3.06E-05,0.800
3.06E-05,0.600
3.06E-05,0.800
3.07E-05,0.600
3.07E-05,0.800
3.07E-05,0.600
3.07E-05,0.800
3.07E-05,0.800
3.08E-05,1.000
3.08E-05,0.800
3.08E-05,0.800
3.08E-05,0.800
3.08E-05,1.000
3.09E-05,0.800
3.09E-05,0.600
3.09E-05,0.600
3.09E-05,0.800
3.09E-05,1.000
3.10E-05,1.000
3.10E-05,0.600
3.10E-05,0.600
3.10E-05,0.800
3.10E-05,1.000
3.11E-05,1.000
3.11E-05,0.600
3.11E-05,0.600
3.11E-05,0.800
3.11E-05,0.600
3.12E-05,0.600
3.12E-05,0.800
3.12E-05,0.800
3.12E-05,0.800
3.12E-05,1.000
3.13E-05,0.800
3.13E-05,0.600
3.13E-05,0.800
3.13E-05,0.800
3.13E-05,1.000
3.14E-05,0.800
3.14E-05,0.800
3.14E-05,1.000
3.14E-05,0.800
3.14E-05,0.800
3.15E-05,1.000
3.15E-05,0.800
3.15E-05,0.600
3.15E-05,0.800
3.15E-05,0.600
3.16E-05,0.800
3.16E-05,0.600
3.16E-05,0.800
3.16E-05,0.600
3.16E-05,0.800
3.17E-05,0.800
3.17E-05,0.800
3.17E-05,0.800
3.17E-05,1.000
3.17E-05,0.800
3.18E-05,0.600
3.18E-05,0.800
3.18E-05,0.800
3.18E-05,1.000
3.18E-05,0.800
3.19E-05,1.000
3.19E-05,1.000
3.19E-05,1.000
3.19E-05,1.000
3.19E-05,1.000
3.20E-05,1.000
3.20E-05,1.000
3.20E-05,1.600
3.20E-05,3.600
3.20E-05,5.400
3.21E-05,6.200
3.21E-05,7.000
3.21E-05,8.000
3.21E-05,8.600
3.21E-05,9.000
3.22E-05,9.600
3.22E-05,9.800
3.22E-05,10.200
3.22E-05,10.400
3.22E-05,10.600
3.23E-05,10.800
3.23E-05,10.800
3.23E-05,10.800
3.23E-05,11.200
3.23E-05,11.200
3.24E-05,11.200
3.24E-05,11.400
3.24E-05,11.400
3.24E-05,11.400
3.24E-05,11.400
3.25E-05,11.400
3.25E-05,11.400
3.25E-05,11.400
3.25E-05,11.400
3.25E-05,11.400
3.26E-05,11.200
3.26E-05,11.200
3.26E-05,11.400
3.26E-05,11.400
3.26E-05,11.400
3.27E-05,11.400
3.27E-05,11.600
3.27E-05,11.400
3.27E-05,11.400
3.27E-05,11.200
3.28E-05,11.200
3.28E-05,11.400
3.28E-05,11.400
3.28E-05,11.400
3.28E-05,11.400
3.29E-05,11.200
3.29E-05,11.200
3.29E-05,11.200
3.29E-05,11.400
3.29E-05,11.400
3.30E-05,11.400
3.30E-05,11.400
3.30E-05,11.400
3.30E-05,11.400
3.30E-05,11.400
3.31E-05,11.000
3.31E-05,11.400
3.31E-05,11.400
3.31E-05,11.600
3.31E-05,11.600
3.32E-05,11.400
3.32E-05,11.400
3.32E-05,11.400
3.32E-05,11.400
3.32E-05,11.400
3.33E-05,11.400
3.33E-05,11.400
3.33E-05,11.400
3.33E-05,11.400
3.33E-05,11.400
3.34E-05,11.400
3.34E-05,11.400
3.34E-05,11.200
3.34E-05,11.200
3.34E-05,11.200
3.35E-05,11.400
3.35E-05,11.400
3.35E-05,11.400
3.35E-05,11.400
3.35E-05,11.600
3.36E-05,11.600
3.36E-05,11.400
3.36E-05,11.400
3.36E-05,11.400
3.36E-05,11.400
3.37E-05,11.400
3.37E-05,11.400
3.37E-05,11.400
3.37E-05,11.400
3.37E-05,11.200
3.38E-05,11.200
3.38E-05,11.200
3.38E-05,11.200
3.38E-05,11.400
3.38E-05,11.400
3.39E-05,11.600
3.39E-05,11.600
3.39E-05,11.400
3.39E-05,11.400
3.39E-05,11.400
3.40E-05,11.600
3.40E-05,11.600
3.40E-05,11.600
3.40E-05,11.400
3.40E-05,11.200
3.41E-05,11.400
3.41E-05,11.400
3.41E-05,11.400
3.41E-05,11.400
3.41E-05,11.400
3.42E-05,11.400
3.42E-05,11.400
3.42E-05,11.400
3.42E-05,11.400
3.42E-05,11.400
3.43E-05,11.400
3.43E-05,11.400
3.43E-05,11.400
3.43E-05,11.400
3.43E-05,11.400
3.44E-05,11.400
3.44E-05,11.200
3.44E-05,11.200
3.44E-05,11.400
3.44E-05,11.400
3.45E-05,11.400
3.45E-05,11.400
3.45E-05,11.200
3.45E-05,11.400
3.45E-05,11.400
3.46E-05,11.200
3.46E-05,11.400
3.46E-05,11.400
3.46E-05,11.400
3.46E-05,11.400
3.47E-05,11.400
3.47E-05,11.400
3.47E-05,11.200
3.47E-05,11.400
3.47E-05,11.400
3.48E-05,11.200
3.48E-05,11.400
3.48E-05,11.400
3.48E-05,11.400
3.48E-05,11.400
3.49E-05,11.200
3.49E-05,11.200
3.49E-05,11.000
3.49E-05,11.200
3.49E-05,11.400
3.50E-05,11.400
3.50E-05,11.600
3.50E-05,11.400
3.50E-05,11.400
3.50E-05,11.400
3.51E-05,11.400
3.51E-05,11.400
3.51E-05,11.200
3.51E-05,11.400
3.51E-05,11.400
3.52E-05,11.400
3.52E-05,11.400
3.52E-05,11.000
3.52E-05,11.400
3.52E-05,11.400
3.53E-05,11.400
3.53E-05,11.400
3.53E-05,11.400
3.53E-05,11.400
3.53E-05,11.400
3.54E-05,11.400
3.54E-05,11.400
3.54E-05,11.400
3.54E-05,11.400
3.54E-05,11.400
3.55E-05,11.400
3.55E-05,11.400
3.55E-05,11.200
3.55E-05,11.400
3.55E-05,11.400
3.56E-05,11.400
3.56E-05,11.200
3.56E-05,11.400
3.56E-05,11.400
3.56E-05,11.400
3.57E-05,11.400
3.57E-05,11.400
3.57E-05,11.400
3.57E-05,11.400
3.57E-05,11.600
3.58E-05,11.400
3.58E-05,11.400
3.58E-05,11.600
3.58E-05,11.600
3.58E-05,11.600
3.59E-05,11.400
3.59E-05,11.400
3.59E-05,11.400
3.59E-05,11.400
3.59E-05,11.400
3.60E-05,11.400
3.60E-05,11.400
3.60E-05,11.400
3.60E-05,11.400
3.60E-05,11.200
3.61E-05,11.000
3.61E-05,10.200
3.61E-05,8.800
3.61E-05,8.200
3.61E-05,6.800
3.62E-05,5.800
3.62E-05,5.200
3.62E-05,4.200
3.62E-05,3.400
3.62E-05,3.000
3.63E-05,2.400
3.63E-05,1.800
3.63E-05,1.600
3.63E-05,1.200
3.63E-05,1.400
3.64E-05,1.400
3.64E-05,1.200
3.64E-05,1.000
3.64E-05,1.000
3.64E-05,0.800
3.65E-05,1.000
3.65E-05,1.200
3.65E-05,1.200
3.65E-05,0.800
3.65E-05,1.000
3.66E-05,1.200
3.66E-05,0.600
3.66E-05,0.800
3.66E-05,1.000
3.66E-05,0.800
3.67E-05,1.000
3.67E-05,0.800
3.67E-05,0.600
3.67E-05,0.800
3.67E-05,0.600
3.68E-05,0.800
3.68E-05,0.800
3.68E-05,1.000
3.68E-05,0.800
3.68E-05,1.000
3.69E-05,0.600
3.69E-05,0.600
3.69E-05,0.800
3.69E-05,0.600
3.69E-05,0.800
3.70E-05,1.000
3.70E-05,0.800
3.70E-05,1.000
3.70E-05,0.600
3.70E-05,0.800
3.71E-05,0.800
3.71E-05,0.800
3.71E-05,1.000
3.71E-05,0.800
3.71E-05,0.600
3.72E-05,0.600
3.72E-05,0.800
3.72E-05,0.800
3.72E-05,1.000
3.72E-05,0.800
3.73E-05,0.800
3.73E-05,0.800
3.73E-05,1.000
3.73E-05,0.800
3.73E-05,0.600
3.74E-05,0.800
3.74E-05,1.000
3.74E-05,1.000
3.74E-05,0.600
3.74E-05,0.600
3.75E-05,0.800
3.75E-05,0.800
3.75E-05,1.000
3.75E-05,0.800
3.75E-05,1.000
3.76E-05,0.600
3.76E-05,0.800
3.76E-05,0.800
3.76E-05,0.800
3.76E-05,0.800
3.77E-05,0.800
3.77E-05,0.800
3.77E-05,0.800
3.77E-05,1.000
3.77E-05,0.800
3.78E-05,1.000
3.78E-05,0.600
3.78E-05,0.800
3.78E-05,0.800
3.78E-05,1.000
3.79E-05,0.800
3.79E-05,0.600
3.79E-05,0.800
3.79E-05,0.800
3.79E-05,1.000
3.80E-05,0.800
3.80E-05,0.600
3.80E-05,0.800
3.80E-05,0.800
3.80E-05,0.800
3.81E-05,0.800
3.81E-05,0.800
3.81E-05,1.000
3.81E-05,0.800
3.81E-05,0.600
3.82E-05,0.800
3.82E-05,0.800
3.82E-05,1.000
3.82E-05,0.800
3.82E-05,0.600
3.83E-05,0.800
3.83E-05,1.000
3.83E-05,0.600
3.83E-05,0.600
3.83E-05,0.800
3.84E-05,0.800
3.84E-05,1.000
3.84E-05,0.800
3.84E-05,1.000
3.84E-05,0.600
3.85E-05,0.600
3.85E-05,0.800
3.85E-05,0.800
3.85E-05,1.000
3.85E-05,0.800
3.86E-05,0.600
3.86E-05,0.800
3.86E-05,1.000
3.86E-05,0.800
3.86E-05,1.000
3.87E-05,0.600
3.87E-05,0.600
3.87E-05,0.800
3.87E-05,0.800
3.87E-05,1.000
3.88E-05,0.800
3.88E-05,0.600
3.88E-05,0.800
3.88E-05,0.800
3.88E-05,0.800
3.89E-05,1.000
3.89E-05,0.800
3.89E-05,0.600
3.89E-05,0.800
3.89E-05,0.800
3.90E-05,1.000
3.90E-05,0.800
3.90E-05,0.600
3.90E-05,0.800
3.90E-05,1.000
3.91E-05,0.800
3.91E-05,0.600
3.91E-05,0.800
3.91E-05,0.800
3.91E-05,1.000
3.92E-05,0.800
3.92E-05,1.000
3.92E-05,1.000
3.92E-05,0.600
3.92E-05,0.800
3.93E-05,0.800
3.93E-05,0.800
3.93E-05,0.800
3.93E-05,0.800
3.93E-05,1.000
3.94E-05,0.800
3.94E-05,0.800
3.94E-05,0.800
3.94E-05,1.000
3.94E-05,0.800
3.95E-05,0.600
3.95E-05,0.800
3.95E-05,0.600
3.95E-05,0.800
3.95E-05,0.600
3.96E-05,0.600
3.96E-05,0.800
3.96E-05,0.600
3.96E-05,0.800
3.96E-05,1.000
3.97E-05,1.000
3.97E-05,0.600
3.97E-05,0.600
3.97E-05,0.800
3.97E-05,0.600
3.98E-05,0.800
3.98E-05,0.600
3.98E-05,0.600
3.98E-05,0.800
3.98E-05,1.000
3.99E-05,0.600
3.99E-05,0.800
3.99E-05,0.800
3.99E-05,0.800
3.99E-05,0.800
4.00E-05,2.800
4.00E-05,4.400
4.00E-05,5.800
4.00E-05,6.600
4.00E-05,7.600
4.01E-05,8.600
4.01E-05,9.000
4.01E-05,9.400
4.01E-05,9.600
4.01E-05,10.200
4.02E-05,10.400
4.02E-05,10.400
4.02E-05,10.400
4.02E-05,10.800
4.02E-05,11.000
4.03E-05,10.800
4.03E-05,11.200
4.03E-05,11.200
4.03E-05,11.200
4.03E-05,11.200
4.04E-05,11.200
4.04E-05,11.200
4.04E-05,11.400
4.04E-05,11.400
4.04E-05,11.400
4.05E-05,11.400
4.05E-05,11.400
4.05E-05,11.400
4.05E-05,11.400
4.05E-05,11.400
4.06E-05,11.600
4.06E-05,11.400
4.06E-05,11.400
4.06E-05,11.600
4.06E-05,11.600
4.07E-05,11.600
4.07E-05,11.600
4.07E-05,11.600
4.07E-05,11.600
4.07E-05,11.400
4.08E-05,11.400
4.08E-05,11.600
4.08E-05,11.400
4.08E-05,11.400
4.08E-05,11.400
4.09E-05,11.600
4.09E-05,11.400
4.09E-05,11.400
4.09E-05,11.400
4.09E-05,11.400
4.10E-05,11.400
4.10E-05,11.400
4.10E-05,11.400
4.10E-05,11.600
4.10E-05,11.600
4.11E-05,11.600
4.11E-05,11.600
4.11E-05,11.600
4.11E-05,11.600
4.11E-05,11.400
4.12E-05,11.600
4.12E-05,11.400
4.12E-05,11.400
4.12E-05,11.400
4.12E-05,11.400
4.13E-05,11.600
4.13E-05,11.400
4.13E-05,11.400
4.13E-05,11.400
4.13E-05,11.200
4.14E-05,11.400
4.14E-05,11.400
4.14E-05,11.400
4.14E-05,11.200
4.14E-05,11.200
4.15E-05,11.400
4.15E-05,11.400
4.15E-05,11.200
4.15E-05,11.200
4.15E-05,11.200
4.16E-05,11.400
4.16E-05,11.400
4.16E-05,11.600
4.16E-05,11.600
4.16E-05,11.600
4.17E-05,11.600
4.17E-05,11.600
4.17E-05,11.800
4.17E-05,11.600
4.17E-05,11.400
4.18E-05,11.400
4.18E-05,11.400
4.18E-05,11.600
4.18E-05,11.400
4.18E-05,11.400
4.19E-05,11.400
4.19E-05,11.400
4.19E-05,11.400
4.19E-05,11.200
4.19E-05,11.200
4.20E-05,11.400
4.20E-05,11.400
4.20E-05,11.400
4.20E-05,11.400
4.20E-05,11.600
4.21E-05,11.600
4.21E-05,11.600
4.21E-05,11.400
4.21E-05,11.200
4.21E-05,11.400
4.22E-05,11.600
4.22E-05,11.400
4.22E-05,11.400
4.22E-05,11.200
4.22E-05,11.200
4.23E-05,11.200
4.23E-05,11.200
4.23E-05,11.200
4.23E-05,11.400
4.23E-05,11.400
4.24E-05,11.400
4.24E-05,11.400
4.24E-05,11.600
4.24E-05,11.400
4.24E-05,11.400
4.25E-05,11.400
4.25E-05,11.400
4.25E-05,11.400
4.25E-05,11.400
4.25E-05,11.400
4.26E-05,11.600
4.26E-05,11.600
4.26E-05,11.400
4.26E-05,11.400
4.26E-05,11.400
4.27E-05,11.400
4.27E-05,11.400
4.27E-05,11.400
4.27E-05,11.400
4.27E-05,11.400
4.28E-05,11.400
4.28E-05,11.400
4.28E-05,11.400
4.28E-05,11.400
4.28E-05,11.200
4.29E-05,11.400
4.29E-05,11.400
4.29E-05,11.400
4.29E-05,11.400
4.29E-05,11.400
4.30E-05,11.400
4.30E-05,11.400
4.30E-05,11.400
4.30E-05,11.200
4.30E-05,11.600
4.31E-05,11.400
4.31E-05,11.400
4.31E-05,11.400
4.31E-05,11.000
4.31E-05,11.400
4.32E-05,11.400
4.32E-05,11.400
4.32E-05,11.400
4.32E-05,11.400
4.32E-05,11.400
4.33E-05,11.400
4.33E-05,11.200
4.33E-05,11.400
4.33E-05,11.600
4.33E-05,11.600
4.34E-05,11.600
4.34E-05,11.400
4.34E-05,11.400
4.34E-05,11.400
4.34E-05,11.400
4.35E-05,11.400
4.35E-05,11.400
4.35E-05,11.600
4.35E-05,11.600
4.35E-05,11.400
4.36E-05,11.400
4.36E-05,11.400
4.36E-05,11.400
4.36E-05,11.400
4.36E-05,11.400
4.37E-05,11.200
4.37E-05,11.400
4.37E-05,11.400
4.37E-05,11.600
4.37E-05,11.600
4.38E-05,11.400
4.38E-05,11.400
4.38E-05,11.400
4.38E-05,11.400
4.38E-05,11.400
4.39E-05,11.200
4.39E-05,11.400
4.39E-05,11.400
4.39E-05,11.600
4.39E-05,11.200
4.40E-05,11.400
4.40E-05,11.400
4.40E-05,11.200
4.40E-05,10.400
4.40E-05,9.400
4.41E-05,8.000
4.41E-05,7.200
4.41E-05,6.000
4.41E-05,5.200
4.41E-05,4.400
4.42E-05,3.800
4.42E-05,2.800
4.42E-05,2.400
4.42E-05,2.000
4.42E-05,1.600
4.43E-05,1.600
4.43E-05,1.400
4.43E-05,1.400
4.43E-05,1.200
4.43E-05,1.400
4.44E-05,1.000
4.44E-05,1.200
4.44E-05,1.200
4.44E-05,1.000
4.44E-05,1.200
4.45E-05,1.000
4.45E-05,0.800
4.45E-05,1.000
4.45E-05,1.000
4.45E-05,1.000
4.46E-05,1.000
4.46E-05,1.000
4.46E-05,1.000
4.46E-05,0.800
4.46E-05,0.600
4.47E-05,0.800
4.47E-05,0.600
4.47E-05,0.600
4.47E-05,0.800
4.47E-05,0.800
4.48E-05,1.000
4.48E-05,0.800
4.48E-05,0.800
4.48E-05,0.800
4.48E-05,1.000
4.49E-05,0.800
4.49E-05,0.600
4.49E-05,0.800
4.49E-05,0.800
4.49E-05,1.000
4.50E-05,0.800
4.50E-05,0.600
4.50E-05,0.800
4.50E-05,0.800
4.50E-05,1.000
4.51E-05,0.800
4.51E-05,1.000
4.51E-05,0.600
4.51E-05,0.600
4.51E-05,0.800
4.52E-05,1.000
4.52E-05,0.600
4.52E-05,0.600
4.52E-05,0.800
4.52E-05,1.000
4.53E-05,1.000
4.53E-05,1.000
4.53E-05,1.000
4.53E-05,0.600
4.53E-05,0.600
4.54E-05,0.800
4.54E-05,1.000
4.54E-05,1.000
4.54E-05,1.000
4.54E-05,1.000
4.55E-05,1.000
4.55E-05,0.600
4.55E-05,0.600
4.55E-05,0.800
4.55E-05,0.600
4.56E-05,0.800
4.56E-05,0.600
4.56E-05,0.800
4.56E-05,0.600
4.56E-05,0.600
4.57E-05,0.800
4.57E-05,0.800
4.57E-05,1.000
4.57E-05,0.800
4.57E-05,0.800
4.58E-05,1.000
4.58E-05,0.800
4.58E-05,0.800
4.58E-05,1.000
4.58E-05,0.800
4.59E-05,0.600
4.59E-05,0.600
4.59E-05,0.800
4.59E-05,0.600
4.59E-05,0.800
4.60E-05,0.800
4.60E-05,0.800
4.60E-05,0.800
4.60E-05,0.800
4.60E-05,0.800
4.61E-05,1.000
4.61E-05,0.800
4.61E-05,0.600
4.61E-05,0.800
4.61E-05,1.000
4.62E-05,0.600
4.62E-05,0.600
4.62E-05,0.800
4.62E-05,0.800
4.62E-05,1.000
4.63E-05,0.800
4.63E-05,0.600
4.63E-05,0.800
4.63E-05,0.800
4.63E-05,0.800
4.64E-05,0.800
4.64E-05,1.000
4.64E-05,0.800
4.64E-05,0.600
4.64E-05,0.800
4.65E-05,1.000
4.65E-05,0.800
4.65E-05,0.600
4.65E-05,0.800
4.65E-05,1.000
4.66E-05,0.600
4.66E-05,0.800
4.66E-05,0.800
4.66E-05,1.000
4.66E-05,0.800
4.67E-05,0.600
4.67E-05,0.800
4.67E-05,1.000
4.67E-05,0.800
4.67E-05,0.600
4.68E-05,0.800
4.68E-05,1.000
4.68E-05,0.800
4.68E-05,0.800
4.68E-05,0.800
4.69E-05,0.800
4.69E-05,1.000
4.69E-05,0.800
4.69E-05,0.800
4.69E-05,0.800
4.70E-05,0.800
4.70E-05,0.800
4.70E-05,0.800
4.70E-05,1.000
4.70E-05,0.800
4.71E-05,0.600
4.71E-05,0.800
4.71E-05,0.800
4.71E-05,0.800
4.71E-05,1.000
4.72E-05,0.800
4.72E-05,0.600
4.72E-05,0.600
4.72E-05,0.800
4.72E-05,0.600
4.73E-05,0.800
4.73E-05,0.800
4.73E-05,1.000
4.73E-05,0.800
4.73E-05,0.600
4.74E-05,0.600
4.74E-05,0.800
4.74E-05,0.600
4.74E-05,0.800
4.74E-05,1.000
4.75E-05,1.000
4.75E-05,0.600
4.75E-05,0.600
4.75E-05,0.800
4.75E-05,1.000
4.76E-05,0.600
4.76E-05,0.600
4.76E-05,0.800
4.76E-05,1.000
4.76E-05,1.000
4.77E-05,0.600
4.77E-05,0.800
4.77E-05,0.800
4.77E-05,0.800
4.77E-05,1.000
4.78E-05,0.800
4.78E-05,1.000
4.78E-05,1.000
4.78E-05,1.000
4.78E-05,1.000
4.79E-05,0.600
4.79E-05,0.800
4.79E-05,2.200
4.79E-05,4.000
4.79E-05,5.400
4.80E-05,6.600
4.80E-05,7.600
4.80E-05,8.400
4.80E-05,8.800
4.80E-05,9.600
4.81E-05,9.600
4.81E-05,10.000
4.81E-05,10.400
4.81E-05,10.400
4.81E-05,10.400
4.82E-05,10.400
4.82E-05,10.800
4.82E-05,10.800
4.82E-05,11.200
4.82E-05,11.000
4.83E-05,11.200
4.83E-05,11.400
4.83E-05,11.000
4.83E-05,11.400
4.83E-05,11.400
4.84E-05,11.400
4.84E-05,11.400
4.84E-05,11.400
4.84E-05,11.400
4.84E-05,11.400
4.85E-05,11.400
4.85E-05,11.400
4.85E-05,11.200
4.85E-05,11.400
4.85E-05,11.400
4.86E-05,11.400
4.86E-05,11.400
4.86E-05,11.400
4.86E-05,11.600
4.86E-05,11.400
4.87E-05,11.400
4.87E-05,11.400
4.87E-05,11.600
4.87E-05,11.600
4.87E-05,11.400
4.88E-05,11.400
4.88E-05,11.400
4.88E-05,11.400
4.88E-05,11.400
4.88E-05,11.400
4.89E-05,11.400
4.89E-05,11.400
4.89E-05,11.400
4.89E-05,11.600
4.89E-05,11.400
4.90E-05,11.400
4.90E-05,11.200
4.90E-05,11.400
4.90E-05,11.400
4.90E-05,11.400
4.91E-05,11.200
4.91E-05,11.200
4.91E-05,11.200
4.91E-05,11.200
4.91E-05,11.400
4.92E-05,11.600
4.92E-05,11.400
4.92E-05,11.400
4.92E-05,11.200
4.92E-05,11.400
4.93E-05,11.400
4.93E-05,11.600
4.93E-05,11.400
4.93E-05,11.400
4.93E-05,11.400
4.94E-05,11.400
4.94E-05,11.400
4.94E-05,11.600
4.94E-05,11.400
4.94E-05,11.400
4.95E-05,11.400
4.95E-05,11.400
4.95E-05,11.200
4.95E-05,11.200
4.95E-05,11.400
4.96E-05,11.400
4.96E-05,11.200
4.96E-05,11.400
4.96E-05,11.400
4.96E-05,11.400
4.97E-05,11.400
4.97E-05,11.400
4.97E-05,11.400
4.97E-05,11.200
4.97E-05,11.200
4.98E-05,11.200
4.98E-05,11.200
4.98E-05,11.200
4.98E-05,11.200
4.98E-05,11.400
4.99E-05,11.400
4.99E-05,11.400
4.99E-05,11.200
4.99E-05,11.400
4.99E-05,11.400
5.00E-05,11.600
5.00E-05,11.600
5.00E-05,11.400
5.00E-05,11.400
5.00E-05,11.000
5.01E-05,11.400
5.01E-05,11.400
5.01E-05,11.200
5.01E-05,11.400
5.01E-05,11.600
5.02E-05,11.000
5.02E-05,11.400
5.02E-05,11.400
5.02E-05,11.400
5.02E-05,11.400
5.03E-05,11.400
5.03E-05,11.400
5.03E-05,11.400
5.03E-05,11.400
5.03E-05,11.400
5.04E-05,11.200
5.04E-05,11.400
5.04E-05,11.400
5.04E-05,11.400
5.04E-05,11.400
5.05E-05,11.600
5.05E-05,11.600
5.05E-05,11.600
5.05E-05,11.600
5.05E-05,11.400
5.06E-05,11.400
